Time_Closed,Pair_ID,Action,Volume,Leg1_Broker,Leg1_Ticket,Leg2_Broker,Leg2_Ticket,Entry_Mode,Entry_Dev,Entry_Live,Close_Mode,Close_Dev,Close_Live,Leg1_Open,Leg1_Close,Leg2_Open,Leg2_Close,Leg1_Profit,Leg2_Profit,Total_Fee,Net_Profit
2026-03-10 16:16:20,EXNESS_FXPRO,FORCE_CLOSE,0.01,EXNESS,1812008122,FXPRO,179504676,[F],0.40,-0.05,[STOPOUT],0.00,-0.10,5184.5470000000005,5186.840999999999,5184.6,5186.74,-2.29,2.14,-0.19,-0.34
2026-03-10 16:18:30,TICKMILL_EXNESS,FORCE_CLOSE,0.01,TICKMILL,188075918,EXNESS,1812008087,[F],0.40,-0.01,[STOPOUT],0.00,-0.27,5184.67,5185.21,5184.657,5185.479,0.54,-0.82,-0.17,-0.45
2026-03-10 19:26:00,TICKMILL_EXNESS,FORCE_CLOSE,0.01,EXNESS,1812566475,TICKMILL,188182912,[F],0.11,0.22,[STOPOUT],0.00,-0.15,5177.759,5179.069,5177.98,5179.22,1.31,-1.24,-0.17,-0.10
2026-03-10 19:39:18,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179640323,EXNESS,1812565613,[F],0.11,-1.22,[F],0.06,-0.03,5176.6,5180.32,5177.817,5180.285,-3.72,2.47,-0.19,-1.44
2026-03-10 19:55:29,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188183660,FXPRO,179641482,[F],0.19,-0.01,[NORMAL],0.08,-0.16,5179.02,5182.61,5179.01,5182.77,3.59,-3.76,-0.14,-0.31
2026-03-10 20:20:37,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188203449,FXPRO,179665368,[C],0.20,-0.15,[NORMAL],0.04,-0.13,5189.59,5213.44,5189.44,5213.57,23.85,-24.13,-0.14,-0.42
2026-03-10 20:38:52,EXNESS_FXPRO,FORCE_CLOSE,0.01,FXPRO,179689277,EXNESS,1812816996,[C],0.10,0.08,[STOPOUT],0.00,-0.12,5217.48,5210.61,5217.56,5210.732,-6.87,6.83,-0.19,-0.23
2026-03-10 20:39:01,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188221679,EXNESS,1812810345,[C],0.10,0.05,[NORMAL],0.13,0.54,5214.84,5211.47,5214.7919999999995,5212.01,3.37,-2.78,-0.17,0.42
2026-03-10 20:39:13,TICKMILL_FXPRO,FORCE_CLOSE,0.01,TICKMILL,188198749,FXPRO,179660363,[C],0.26,-0.13,[STOPOUT],0.00,1.03,5182.48,5212.44,5182.35,5211.41,29.96,-29.06,-0.14,0.76
2026-03-10 20:39:30,TICKMILL_FXPRO,FORCE_CLOSE,0.01,FXPRO,179645699,TICKMILL,188187198,[F],0.18,0.00,[STOPOUT],0.00,0.03,5181.1,5213.47,5181.1,5213.5,-32.37,32.40,-0.14,-0.11
2026-03-10 20:45:23,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179710370,TICKMILL,188244769,[C],0.45,0.24,[NORMAL],0.07,-0.18,5212.3,5207.32,5212.54,5207.5,-4.98,5.04,-0.14,-0.08
2026-03-10 20:48:34,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188248366,FXPRO,179713065,[C],0.31,-0.05,[NORMAL],0.35,-0.15,5209.06,5201.36,5209.11,5201.21,7.70,-7.90,-0.14,-0.34
2026-03-10 21:08:52,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188251686,FXPRO,179716841,[C],0.21,-0.01,[NORMAL],0.16,-0.06,5200.27,5192.75,5200.28,5192.69,7.52,-7.59,-0.14,-0.21
2026-03-10 21:16:52,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179740374,EXNESS,1813078883,[C],0.14,0.07,[NORMAL],0.17,0.18,5191.87,5210.77,5191.938,5210.595,18.90,-18.66,-0.19,0.05
2026-03-10 21:50:51,EXNESS_FXPRO,FORCE_CLOSE,0.01,EXNESS,1813252467,FXPRO,179774255,[C],0.10,0.17,[STOPOUT],0.00,-0.52,5207.33,5209.414,5207.16,5208.89,-2.08,1.73,-0.19,-0.54
2026-03-10 21:50:56,ERR_EXNESS,FORCE_CLOSE,0.01,EXNESS,1813266262,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5208.91,5210.416,0.0,0.0,-1.51,0.00,-0.11,-1.62
2026-03-10 21:53:17,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179775156,EXNESS,1813258623,[C],0.15,-0.05,[NORMAL],0.03,-0.15,5207.77,5210.49,5207.72,5210.641,2.72,-2.92,-0.19,-0.39
2026-03-10 21:58:15,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179775723,EXNESS,1813262325,[C],0.19,0.02,[NORMAL],0.15,0.03,5207.03,5211.51,5207.053,5211.48,4.48,-4.43,-0.19,-0.14
2026-03-10 22:11:03,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188253201,FXPRO,179718631,[C],0.13,-0.11,[NORMAL],0.08,0.01,5202.35,5220.65,5202.46,5220.66,-18.30,18.20,-0.14,-0.24
2026-03-10 22:16:10,ERR_FXPRO,FORCE_CLOSE,0.01,FXPRO,179790707,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5216.63,5224.42,0.0,0.0,7.79,0.00,-0.08,7.71
2026-03-10 22:16:14,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179729742,TICKMILL,188262565,[C],0.12,0.12,[NORMAL],0.47,-0.01,5203.75,5223.98,5203.87,5223.99,20.23,-20.12,-0.14,-0.03
2026-03-10 22:18:18,TICKMILL_FXPRO,FORCE_CLOSE,0.01,FXPRO,179776649,TICKMILL,188309279,[C],0.17,2.25,[STOPOUT],0.00,-0.16,5207.98,5223.23,5210.23,5223.39,15.25,-13.16,-0.14,1.95
2026-03-10 22:19:25,TICKMILL_FXPRO,CLOSE,0.01,TICKMILL,188287008,FXPRO,179755681,[C],0.19,0.08,[NORMAL],0.03,-0.02,5211.35,5223.47,5211.27,5223.45,-12.12,12.18,-0.14,-0.08
2026-03-10 22:20:18,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179782694,TICKMILL,188318950,[C],0.19,7.59,[NORMAL],0.06,-0.09,5209.0,5227.49,5216.59,5227.58,18.49,-10.99,-0.14,7.36
2026-03-10 22:26:12,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179775722,TICKMILL,188304530,[C],0.10,-0.02,[NORMAL],0.30,-0.04,5207.05,5225.03,5207.03,5225.07,17.98,-18.04,-0.14,-0.20
2026-03-10 22:26:38,TICKMILL_FXPRO,CLOSE,0.01,FXPRO,179781444,TICKMILL,188311215,[C],0.16,-1.83,[NORMAL],0.22,-0.04,5210.37,5225.93,5208.54,5225.97,15.56,-17.43,-0.14,-2.01
2026-03-10 22:31:25,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188332671,EXNESS,1813404159,[C],0.19,0.26,[NORMAL],0.52,-0.16,5225.18,5227.63,5224.923,5227.474,-2.45,2.55,-0.17,-0.07
2026-03-10 22:32:26,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188333088,EXNESS,1813407058,[C],0.14,0.13,[NORMAL],0.07,-0.26,5224.44,5228.96,5224.313,5228.701,-4.52,4.39,-0.17,-0.30
2026-03-10 22:34:33,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188333740,EXNESS,1813410659,[C],0.19,0.24,[NORMAL],0.12,-0.01,5225.5,5234.49,5225.258,5234.475,-8.99,9.22,-0.17,0.06
2026-03-10 22:34:34,ERR_TICKMILL,FORCE_CLOSE,0.01,TICKMILL,188337280,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5234.83,5234.78,0.0,0.0,0.05,0.00,-0.06,-0.01
2026-03-10 22:34:36,ERR_EXNESS,FORCE_CLOSE,0.01,EXNESS,1813432994,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5234.353,5234.997,0.0,0.0,0.65,0.00,-0.11,0.54
2026-03-10 22:34:37,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188334235,EXNESS,1813414750,[C],0.11,0.09,[NORMAL],0.10,-0.16,5227.73,5234.89,5227.638,5234.733,-7.16,7.09,-0.17,-0.24
2026-03-10 22:36:24,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188335269,EXNESS,1813422909,[C],0.20,0.18,[NORMAL],0.13,-0.05,5228.57,5233.08,5228.391,5233.025000000001,-4.51,4.64,-0.17,-0.04
2026-03-10 23:21:42,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188358244,EXNESS,1813547682,[C],0.18,-0.48,[NORMAL],0.14,-0.23,5226.26,5229.91,5226.737,5229.682,-3.65,2.94,-0.17,-0.88
2026-03-10 23:41:55,EXNESS_FXPRO,FORCE_CLOSE,0.01,EXNESS,1813547718,FXPRO,179838903,[F],0.11,0.06,[STOPOUT],0.00,-0.08,5226.449,5230.794,5226.39,5230.71,4.34,-4.32,-0.19,-0.17
2026-03-10 23:41:58,ERR_FXPRO,FORCE_CLOSE,0.01,FXPRO,179856817,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5230.74,5230.33,0.0,0.0,-0.41,0.00,-0.08,-0.49
2026-03-10 23:42:03,ERR_EXNESS,FORCE_CLOSE,0.01,EXNESS,1813636185,N/A,N/A,,0.00,0.00,[ORPHAN],0.00,0.00,5230.802,5230.614,0.0,0.0,0.19,0.00,-0.11,0.08
2026-03-11 00:15:40,TICKMILL_EXNESS,CLOSE,0.01,EXNESS,1813707739,TICKMILL,188386469,[F],0.11,-0.15,[F],0.04,0.01,5231.736,5233.03,5231.59,5233.02,1.29,-1.43,-0.17,-0.31
2026-03-11 00:16:49,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188387301,EXNESS,1813711950,[F],0.11,0.26,[F],0.07,0.11,5234.39,5227.67,5234.1269999999995,5227.777,6.72,-6.35,-0.17,0.20
2026-03-11 00:17:57,TICKMILL_EXNESS,CLOSE,0.01,EXNESS,1813716316,TICKMILL,188387942,[F],0.20,0.10,[F],0.10,0.11,5234.068,5227.546,5234.17,5227.44,-6.52,6.73,-0.17,0.04
2026-03-11 00:20:54,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188389502,EXNESS,1813724784,[F],0.12,0.59,[F],0.05,0.39,5227.3,5228.02,5226.71,5228.414,-0.72,1.70,-0.17,0.81
2026-03-11 00:21:40,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188390605,EXNESS,1813730642,[F],0.10,-0.31,[F],0.05,-0.09,5226.82,5227.64,5227.13,5227.549,-0.82,0.42,-0.17,-0.57
2026-03-11 00:23:03,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188392047,EXNESS,1813737528,[F],0.13,0.09,[F],0.09,-0.36,5225.81,5225.09,5225.717,5224.729,0.72,-0.99,-0.17,-0.44
2026-03-11 00:25:30,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188393417,EXNESS,1813744445,[F],0.14,0.03,[F],0.06,-0.13,5227.21,5228.43,5227.184,5228.303,-1.22,1.12,-0.17,-0.27
2026-03-11 00:25:41,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188394170,EXNESS,1813749337,[F],0.14,-0.27,[F],0.03,0.18,5226.87,5228.05,5227.1359999999995,5228.226,-1.18,1.09,-0.17,-0.26
2026-03-11 00:26:47,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188394895,EXNESS,1813753276,[F],0.12,0.19,[F],0.05,0.23,5226.14,5228.88,5225.951,5229.109,-2.74,3.16,-0.17,0.25
2026-03-11 00:27:54,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188395819,EXNESS,1813757660,[F],0.11,0.00,[F],0.05,-0.40,5228.95,5229.66,5228.95,5229.256,-0.71,0.31,-0.17,-0.57
2026-03-11 00:29:31,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188396821,EXNESS,1813763240,[F],0.11,0.43,[F],0.13,-0.04,5230.31,5233.48,5229.882,5233.435,-3.17,3.56,-0.17,0.22
2026-03-11 00:33:41,EXNESS_FXPRO,CLOSE,0.01,FXPRO,179890606,EXNESS,1813778711,[F],0.14,-0.50,[F],0.03,1.27,5233.34,5232.89,5232.839,5231.622,-0.45,1.22,-0.19,0.58
2026-03-11 00:37:33,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188401649,EXNESS,1813788813,[F],0.17,-0.06,[F],0.06,-0.16,5232.03,5229.97,5232.093,5229.811,2.06,-2.28,-0.17,-0.39
2026-03-11 00:38:18,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188402395,EXNESS,1813791444,[F],0.13,-0.05,[F],0.08,0.23,5232.32,5228.48,5232.367,5228.714,3.84,-3.66,-0.17,0.01
2026-03-11 00:39:32,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188403236,EXNESS,1813794294,[F],0.11,-0.11,[F],0.04,0.05,5231.39,5228.45,5231.498,5228.501,2.94,-3.00,-0.17,-0.23
2026-03-11 00:40:40,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188404307,EXNESS,1813798620,[F],0.11,0.12,[F],0.10,-0.16,5231.22,5230.72,5231.105,5230.559,0.50,-0.55,-0.17,-0.22
2026-03-11 00:42:19,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188405572,EXNESS,1813805047,[F],0.11,0.01,[F],0.05,-0.68,5229.2,5229.44,5229.195,5228.759,-0.24,-0.44,-0.17,-0.85
2026-03-11 00:43:42,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188406271,EXNESS,1813808931,[F],0.11,0.09,[F],0.03,0.27,5230.77,5228.94,5230.682,5229.211,1.83,-1.47,-0.17,0.19
2026-03-11 00:45:08,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188406863,EXNESS,1813812249,[F],0.15,0.16,[F],0.03,-0.13,5231.44,5228.39,5231.282999999999,5228.258,3.05,-3.02,-0.17,-0.14
2026-03-11 00:46:04,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188407486,EXNESS,1813816781,[F],0.16,-0.01,[F],0.05,0.02,5229.14,5227.72,5229.1539999999995,5227.742,1.42,-1.41,-0.17,-0.16
2026-03-11 00:47:52,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188408094,EXNESS,1813823402,[F],0.19,-0.01,[F],0.05,-0.20,5228.52,5229.18,5228.534,5228.985,-0.66,0.46,-0.17,-0.37
2026-03-11 00:49:24,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188408680,EXNESS,1813827302,[F],0.10,-0.57,[F],0.04,-0.13,5227.74,5230.24,5228.307,5230.1050000000005,-2.50,1.80,-0.17,-0.87
2026-03-11 00:49:52,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188409192,EXNESS,1813830373,[F],0.16,-0.46,[F],0.06,0.03,5228.27,5229.8,5228.729,5229.835,-1.53,1.11,-0.17,-0.59
2026-03-11 00:51:35,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188409945,EXNESS,1813834499,[F],0.12,0.22,[F],0.05,-0.60,5229.62,5230.83,5229.4,5230.228,-1.21,0.83,-0.17,-0.55
2026-03-11 00:52:40,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188410344,EXNESS,1813838911,[F],0.10,0.09,[F],0.07,-0.17,5230.33,5232.51,5230.24,5232.344,-2.18,2.10,-0.17,-0.25
2026-03-11 00:54:26,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188410780,EXNESS,1813842576,[F],0.13,0.12,[F],0.06,-0.38,5229.77,5231.31,5229.653,5230.9310000000005,-1.54,1.28,-0.17,-0.43
2026-03-11 00:55:09,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188411217,EXNESS,1813846291,[F],0.13,0.05,[F],0.07,-0.18,5231.87,5230.33,5231.825,5230.155,1.54,-1.67,-0.17,-0.30
2026-03-11 00:56:30,TICKMILL_EXNESS,CLOSE,0.01,TICKMILL,188411750,EXNESS,1813849081,[F],0.11,0.11,[F],0.05,-0.29,5232.51,5228.24,5232.403,5227.9490000000005,4.27,-4.45,-0.17,-0.35
